nid,jid,Last Name,First Name,Middle Name,Suffix,Birth Month,Birth Day,Birth Year,Birth City,Birth State,Death Month,Death Day,Death Year,Death City,Death State,Gender,Race or Ethnicity,Court Type (1),Court Name (1),Appointment Title (1),Appointing President (1),Party of Appointing President (1),Reappointing President (1),Party of Reappointing President (1),ABA Rating (1),Seat ID (1),Statute Authorizing New Seat (1),Recess Appointment Date (1),Nomination Date (1),Committee Referral Date (1),Hearing Date (1),Judiciary Committee Action (1),Committee Action Date (1),Senate Vote Type (1),Ayes/Nays (1),Confirmation Date (1),Commission Date (1),"Service as Chief Judge, Begin (1)","Service as Chief Judge, End (1)","2nd Service as Chief Judge, Begin (1)","2nd Service as Chief Judge, End (1)",Senior Status Date (1),Termination (1),Termination Date (1),Court Type (2),Court Name (2),Appointment Title (2),Appointing President (2),Party of Appointing President (2),Reappointing President (2),Party of Reappointing President (2),ABA Rating (2),Seat ID (2),Statute Authorizing New Seat (2),Recess Appointment Date (2),Nomination Date (2),Committee Referral Date (2),Hearing Date (2),Judiciary Committee Action (2),Committee Action Date (2),Senate Vote Type (2),Ayes/Nays (2),Confirmation Date (2),Commission Date (2),"Service as Chief Judge, Begin (2)","Service as Chief Judge, End (2)","2nd Service as Chief Judge, Begin (2)","2nd Service as Chief Judge, End (2)",Senior Status Date (2),Termination (2),Termination Date (2),Court Type (3),Court Name (3),Appointment Title (3),Appointing President (3),Party of Appointing President (3),Reappointing President (3),Party of Reappointing President (3),ABA Rating (3),Seat ID (3),Statute Authorizing New Seat (3),Recess Appointment Date (3),Nomination Date (3),Committee Referral Date (3),Hearing Date (3),Judiciary Committee Action (3),Committee Action Date (3),Senate Vote Type (3),Ayes/Nays (3),Confirmation Date (3),Commission Date (3),"Service as Chief Judge, Begin (3)","Service as Chief Judge, End (3)","2nd Service as Chief Judge, Begin (3)","2nd Service as Chief Judge, End (3)",Senior Status Date (3),Termination (3),Termination Date (3),Court Type (4),Court Name (4),Appointment Title (4),Appointing President (4),Party of Appointing President (4),Reappointing President (4),Party of Reappointing President (4),ABA Rating (4),Seat ID (4),Statute Authorizing New Seat (4),Recess Appointment Date (4),Nomination Date (4),Committee Referral Date (4),Hearing Date (4),Judiciary Committee Action (4),Committee Action Date (4),Senate Vote Type (4),Ayes/Nays (4),Confirmation Date (4),Commission Date (4),"Service as Chief Judge, Begin (4)","Service as Chief Judge, End (4)","2nd Service as Chief Judge, Begin (4)","2nd Service as Chief Judge, End (4)",Senior Status Date (4),Termination (4),Termination Date (4),Court Type (5),Court Name (5),Appointment Title (5),Appointing President (5),Party of Appointing President (5),Reappointing President (5),Party of Reappointing President (5),ABA Rating (5),Seat ID (5),Statute Authorizing New Seat (5),Recess Appointment Date (5),Nomination Date (5),Committee Referral Date (5),Hearing Date (5),Judiciary Committee Action (5),Committee Action Date (5),Senate Vote Type (5),Ayes/Nays (5),Confirmation Date (5),Commission Date (5),"Service as Chief Judge, Begin (5)","Service as Chief Judge, End (5)","2nd Service as Chief Judge, Begin (5)","2nd Service as Chief Judge, End (5)",Senior Status Date (5),Termination (5),Termination Date (5),Court Type (6),Court Name (6),Appointment Title (6),Appointing President (6),Party of Appointing President (6),Reappointing President (6),Party of Reappointing President (6),ABA Rating (6),Seat ID (6),Statute Authorizing New Seat (6),Recess Appointment Date (6),Nomination Date (6),Committee Referral Date (6),Hearing Date (6),Judiciary Committee Action (6),Committee Action Date (6),Senate Vote Type (6),Ayes/Nays (6),Confirmation Date (6),Commission Date (6),"Service as Chief Judge, Begin (6)","Service as Chief Judge, End (6)","2nd Service as Chief Judge, Begin (6)","2nd Service as Chief Judge, End (6)",Senior Status Date (6),Termination (6),Termination Date (6),Other Federal Judicial Service (1),Other Federal Judicial Service (2),Other Federal Judicial Service (3),Other Federal Judicial Service (4),School (1),Degree (1),Degree Year (1),School (2),Degree (2),Degree Year (2),School (3),Degree (3),Degree Year (3),School (4),Degree (4),Degree Year (4),School (5),Degree (5),Degree Year (5),Professional Career,Other Nominations/Recess Appointments
1382001,1013,Healey,Arthur,Daniel, ,12,29,1889,Somerville,MA,9,16,1948,Somerville,MA,Male,White,U.S. District Court,U.S. District Court for the District of Massachusetts,Judge,Franklin D. Roosevelt,Democratic,,,,MAD0302, ,,12/1/41,12/1/41,,Reported (favorably),12/15/41,Voice,  ,12/16/41,12/19/41,,,,,,Death,9/16/48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston University School of Law,LL.B.,1913,,,,,,,,,,,,,"Private practice, Boston, Massachusetts, 1914-1917, 1919-1933; U.S. Army, 1917-1919; U.S. representative from Massachusetts, 1933-1942",
1382006,1014,Healy,William, , ,9,10,1881,Windham,IA,3,15,1962, , ,Male,White,U.S. Court of Appeals,U.S. Court of Appeals for the Ninth Circuit,Judge,Franklin D. Roosevelt,Democratic,,,,CA90801,50 Stat. 64,,6/8/37,6/8/37,,Reported (favorably),6/14/37,Voice,  ,6/15/37,6/21/37,,,,,11/30/58,Death,3/15/62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Iowa,A.B.,1906,University of Iowa College of Law,,1908,,,,,,,,,,"Private practice, Silver City, Idaho, 1909-1913; State representative, Idaho, 1913; Private practice, Boise, Idaho, 1914-1934; Prosecutor, Owyhee County, Idaho, 1911-1912; General counsel, U.S. Farm Credit Administration, Spokane, Washington, 1934-1937",
1382011,1015,Heaney,Gerald,William, ,1,29,1918,Goodhue,MN,6,22,2010,Duluth,MN,Male,White,U.S. Court of Appeals,U.S. Court of Appeals for the Eighth Circuit,Judge,Lyndon B. Johnson,Democratic,,,Qualified,CA81101,80 Stat. 75,,9/9/66,9/9/66,10/5/66,Reported (favorably),10/20/66,Voice,  ,10/20/66,11/3/66,,,,,12/31/88,Retirement,8/31/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Minnesota,B.S.L.,1939,University of Minnesota Law School,LL.B.,1941,,,,,,,,,,"Attorney, Minnesota State Securities Commission, 1941-1942; U.S. Army captain, 1942-1946; Private practice, Duluth, Minnesota, 1946-1966",
1382016,1016,Heartfield,Thad, , ,9,10,1940,Port Arthur,TX,12,27,2022,Houston,TX,Male,White,U.S. District Court,U.S. District Court for the Eastern District of Texas,Judge,William J. Clinton,Democratic,,,Well Qualified,TXED0402, ,,1/11/95,1/11/95,2/8/95,Reported (favorably),2/23/95,Voice,  ,3/17/95,3/17/95,2003,2009,,,1/1/10,Death,12/27/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Mary's University, Texas",B.A.,1962,"St. Mary's University School of Law, Texas",J.D.,1965,,,,,,,,,,"Assistant district attorney, Jefferson County, Texas, 1965-1966; Private practice, Beaumont, Texas, 1966-1969, 1973-1995; City attorney, Beaumont, Texas, 1969-1973; Director, Lower Neches Valley Authority, Texas, 1983-1994","Nominated to U.S. District Court for the Eastern District of Texas, October 5, 1994; no Senate vote"
1382021,1017,Heath,Upton,Scott, ,10,10,1784, ,MD,2,21,1852,Baltimore,MD,Male,White,U.S. District Court,U.S. District Court for the District of Maryland,Judge,Andrew Jackson,Democratic,,,,MDD0106, ,,1836-04-01,1836-04-04,,Reported (no recommendation recorded),1836-04-04,Voice,  ,1836-04-04,1836-04-04,,,,,,Death,1852-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Private practice, Maryland, -1835; City councilman, Baltimore, Maryland, 1825-1826",
1391361,2905,Heaton,Joe,L., ,,,1951,Alva,OK,,,, , ,Male,White,U.S. District Court,U.S. District Court for the Western District of Oklahoma,Judge,George W. Bush,Republican,,,Well Qualified,OKWD0303, ,,9/4/01,9/4/01,11/7/01,Reported (favorably),11/29/01,Voice,  ,12/6/01,12/10/01,2015,2019,,,7/1/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northwestern Oklahoma State University,B.A.,1973,University of Oklahoma College of Law,J.D.,1976,,,,,,,,,,"Legislative assistant, U.S. Sen. Dewey F. Bartlett of Oklahoma, 1976-1977; Private practice, Oklahoma City, Oklahoma, 1977-1992, 1993-1996; Adjunct instructor, University of Central Oklahoma, 1980-1981, 1992-1993; State representative, Oklahoma, 1984-1992; U.S. Attorney's Office, Western District of Oklahoma, 1992-1993, 1996-2001; special assistant U.S. attorney and U.S. attorney, 1992-1993; first assistant U.S. attorney, 1996-2001","Nominated to U.S. District Court for the Western District of Oklahoma, August 2, 2001; no Senate vote"
1382026,1018,Heebe,Frederick,Jacob Reagan, ,8,25,1922,Gretna,LA,8,10,2014,Metairie,LA,Male,White,U.S. District Court,U.S. District Court for the Eastern District of Louisiana,Judge,Lyndon B. Johnson,Democratic,,,Qualified,LAED0310, ,,2/16/66,2/16/66,3/10/66,Reported (no recommendation recorded),3/24/66,Voice,  ,3/25/66,3/26/66,1972,1992,,,8/26/92,Death,8/10/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tulane University,B.A.,1943,Tulane University Law School,LL.B.,1949,,,,,,,,,,"U.S. Army captain, 1945-1946; Private practice, Gretna, Louisiana, 1949-1958; Parish councilman/vice chairman, Jefferson Parish, Louisiana, 1958-1960; Judge, Louisiana District Court, Twenty-Fourth Judicial District, Jefferson Parish, Division B, 1961-1966",
1390396,2710,Heen,Walter,Meheula, ,,,1928,Honolulu,HI,,,, , ,Male,Asian American/Pacific Islander,U.S. District Court,U.S. District Court for the District of Hawaii,Judge,Jimmy Carter,Democratic,,,,HID0203, ,1/1/81,1/8/81,1/8/81,,Not Reported,,,  ,,,,,,,,Recess Appointment-Not Confirmed,12/16/81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Hawaii,B.A.,1953,Georgetown College (now Georgetown University) Law Center,J.D.,1955,,,,,,,,,,"Private practice, Honolulu, Hawaii, 1955-1972; Deputy city attorney, Honolulu, Hawaii Territory, 1957-1958; Territorial representative, Hawaii Territory, 1959; State representative, Hawaii, 1959-1964; State senator, Hawaii, 1966-1968; City councilman, Honolulu, Hawaii, 1969-1972; chairman, 1969-1970; Judge, District Court of Hawaii, First Judicial Circuit, 1972-1974; Judge, Circuit Court of Hawaii, First Judicial Circuit, 1974-1978; U.S. attorney for the District of Hawaii, 1978-1980; Associate judge, Hawaii Intermediate Court of Appeals, 1982-1994","Nominated to U.S. District Court for the District of Hawaii, February 27, 1980; no Senate vote; Nominated to U.S. District Court for the District of Hawaii, January 8, 1981; nomination withdrawn by president, January 21, 1981"
8307871,8307871,Heil,John,Frederick,III,,,1968,Lima,OH,,,,,,Male,White,U.S. District Court,U.S. District Court for the Eastern District of Oklahoma,Judge,Donald J. Trump,Republican,,,Well Qualified,OKED0308,,,1/6/20,1/6/20,1/8/20,Reported (favorably),3/12/20,Roll Call, 75/17,5/20/20,5/27/20,2026,,,,,,,U.S. District Court,U.S. District Court for the Northern District of Oklahoma,Judge,Donald J. Trump,Republican,,,Well Qualified,OKND0208,,,1/6/20,1/6/20,1/8/20,Reported (favorably),3/12/20,Roll Call, 75/17,5/20/20,5/27/20,2021,,,,,,,U.S. District Court,U.S. District Court for the Western District of Oklahoma,Judge,Donald J. Trump,Republican,,,Well Qualified,OKWD0208,,,1/6/20,1/6/20,1/8/20,Reported (favorably),3/12/20,Roll Call, 75/17,5/20/20,5/27/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma State University,B.S.,1990,University of Tulsa College of Law,J.D.,1994,,,,,,,,,,"Private practice, Tulsa, Oklahoma, 1994-1997, 2000-2020; Assistant district attorney, Tulsa County, Oklahoma, 1997-2000","Nominated to U.S. District Courts for the Eastern, Northern, and Western Districts of Oklahoma, December 2, 2019; no Senate vote"
1390806,2794,Hellerstein,Alvin,K., ,,,1933,New York,NY,,,, , ,Male,White,U.S. District Court,U.S. District Court for the Southern District of New York,Judge,William J. Clinton,Democratic,,,Well Qualified,NYSD0805, ,,5/15/98,5/15/98,7/30/98,Reported (favorably),9/17/98,Voice,  ,10/21/98,10/22/98,,,,,1/30/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia College,B.A.,1954,Columbia Law School,J.D.,1956,,,,,,,,,,"Law clerk, Hon. Edmund Palmieri, U.S. District Court, Southern District of New York, 1956-1957; U.S. Army, JAG Corps, 1957-1960; Private practice, New York City, 1960-1998",
1394001,3433,Helmick,Jeffrey,James, ,,,1960,Toledo,OH,,,, , ,Male,White,U.S. District Court,U.S. District Court for the Northern District of Ohio,Judge,Barack Obama,Democratic,,,Well Qualified,OHND0507, ,,5/11/11,5/11/11,2/15/12,Reported (favorably),3/8/12,Roll Call, 62/36,6/6/12,6/7/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Michigan,B.A.,1983,Ohio State University College of Law (now Michael E. Moritz College of Law),J.D.,1988,,,,,,,,,,"Private practice, Toledo, Ohio, 1988-2012",
1382031,1019,Helvering,Guy,Tresillian, ,1,10,1878,Felicity,OH,7,4,1946,Washington,DC,Male,White,U.S. District Court,U.S. District Court for the District of Kansas,Judge,Franklin D. Roosevelt,Democratic,,,,KSD0203, ,,9/14/43,9/14/43,9/22/43,Reported (favorably),9/28/43,Voice,  ,9/28/43,10/11/43,,,,,,Death,7/4/46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Michigan Law School,LL.B.,1906,,,,,,,,,,,,,"Private practice, Marysville, Kansas, 1906-1913; U.S. Army corporal, Company M, 22nd Kansas Volunteer Infantry, 1898; Prosecutor, Marshall County, Kansas, 1907-1911; U.S. representative from Kansas, 1913-1919; Banker, Salina, Kansas, 1919-1926; Mayor, Salina, Kansas, 1926-1930; Highway director, State of Kansas, 1931-1932; Commissioner, Bureau of Internal Revenue, U.S. Department of the Treasury, 1933-1943",
1382036,1020,Hemphill,Robert,Witherspoon, ,5,10,1915,Chester,SC,12,25,1983,Chester,SC,Male,White,U.S. District Court,U.S. District Court for the Eastern District of South Carolina,Judge,Lyndon B. Johnson,Democratic,,,Qualified,SCED0204, ,,4/15/64,4/15/64,4/22/64,Reported (favorably),4/29/64,Voice,  ,4/30/64,4/30/64,1964,1965,,,,Reassignment,11/1/65,U.S. District Court,U.S. District Court for the Western District of South Carolina,Judge,Lyndon B. Johnson,Democratic,,,Qualified,SCWD0304, ,,4/15/64,4/15/64,4/22/64,Reported (favorably),4/29/64,Voice,  ,4/30/64,4/30/64,,,,,,Reassignment,11/1/65,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,None (reassignment),None (reassignment),,,,SCD0301,79 Stat. 951,,,,,,,,  ,,11/1/65,1979,1980,,,5/10/80,Death,12/25/83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Judge, Temporary Emergency Court of Appeals, 1981-1983",,,,University of South Carolina,A.B.,1936,University of South Carolina School of Law,LL.B.,1938,,,,,,,,,,"Private practice, Chester, South Carolina, 1938-1964; U.S. Army bomber pilot, Air Corps, 1941-1945; Solicitor, Sixth Judicial Circuit, South Carolina, 1950-1956; State representative, South Carolina, 1947-1948; U.S. representative from South Carolina, 1957-1964",
1382041,1021,Henderson,Albert,John, ,12,12,1920,Canton,GA,5,11,1999,Marietta,GA,Male,White,U.S. District Court,U.S. District Court for the Northern District of Georgia,Judge,Lyndon B. Johnson,Democratic,,,Well Qualified,GAND0602, ,,9/25/68,9/25/68,10/2/68,Reported (favorably),10/9/68,Voice,  ,10/10/68,10/11/68,1976,1979,,,,Appointment to Another Judicial Position,7/27/79,U.S. Court of Appeals,U.S. Court of Appeals for the Fifth Circuit,Judge,Jimmy Carter,Democratic,,,Well Qualified,CA51701,92 Stat. 1629,,4/18/79,4/23/79,6/25/79,Reported (favorably),7/10/79,Voice,  ,7/12/79,7/13/79,,,,,,Reassignment,10/1/81,U.S. Court of Appeals,U.S. Court of Appeals for the Eleventh Circuit,Judge,None (reassignment),None (reassignment),,,,CA111001,94 Stat. 1994,,,,,,,,  ,,10/1/81,,,,,1/31/86,Death,5/11/99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mercer University School of Law,LL.B.,1947,,,,,,,,,,,,,"U.S. Army sergeant, 1943-1945; Underwriter, Lawyers Title Insurance Company, Atlanta, Georgia, 1947-1948; Private practice, Marietta, Georgia, 1948-1960; Judge, Cobb County [Georgia] Juvenile Court, 1953-1960; Trial attorney, Assistant Solicitor General's Office, Blue Ridge Judicial Circuit, Georgia, 1949-1952; Judge, Superior Court of Cobb County [Georgia], 1961-1968",
1390316,2693,Henderson,David,Ezekiel, ,9,3,1879,Deppe,NC,7,25,1968, , ,Male,White,U.S. District Court,U.S. District Court for the Western District of North Carolina,Judge,Harry S Truman,Democratic,,,,NCWD0202, ,9/1/48,,,,,,,  ,,9/1/48,,,,,,Resignation,2/14/49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of North Carolina,, ,Read law,,1905,,,,,,,,,,"Private practice, New Bern, North Carolina, 1905-1918; Private practice, Charlotte, North Carolina, 1918-1945, 1949-1968; U.S. attorney for the Western District of North Carolina, 1945-1948",
1382046,1022,Henderson,John,Oliver, ,11,13,1909,Buffalo,NY,2,19,1974, , ,Male,White,U.S. District Court,U.S. District Court for the Western District of New York,Judge,Dwight D. Eisenhower,Republican,,,,NYWD0104, ,,8/21/59,8/21/59,9/8/59,Reported (favorably),9/10/59,Voice,  ,9/14/59,9/21/59,1967,1974,,,,Death,2/19/74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Buffalo Law School,LL.B.,1933,,,,,,,,,,,,,"U.S. Army lieutenant colonel, 1942-1946; Private practice, Buffalo, New York; Clerk, Erie County [New York] Surrogate's Court, 1947-1948; U.S. attorney for the Western District of New York, 1953-1959",
1382051,1023,Henderson,Karen,LeCraft, ,,,1944,Oberlin,OH,,,, , ,Female,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,Ronald Reagan,Republican,,,Well Qualified,SCD0303, ,,6/3/86,6/3/86,6/11/86,Reported (favorably),6/12/86,Voice,  ,6/13/86,6/16/86,,,,,,Appointment to Another Judicial Position,7/11/90,U.S. Court of Appeals,U.S. Court of Appeals for the District of Columbia Circuit,Judge,George H.W. Bush,Republican,,,Well Qualified,CADC0904, ,,5/8/90,5/8/90,6/11/90,Reported (favorably),6/27/90,Voice,  ,6/28/90,7/5/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duke University,B.A.,1966,University of North Carolina School of Law,J.D.,1969,,,,,,,,,,"Private practice, Chapel Hill, North Carolina, 1969-1970; Office of the Attorney General, State of South Carolina, 1973-1983;  Assistant attorney general, 1973-1978;  Senior assistant attorney general/director, Special Litigation Section, 1978-1982;  Deputy attorney general/director, Criminal Division, 1982-1983; Private practice, Charleston and Columbia, South Carolina, 1983-1986",
1382056,1024,Henderson,Thelton,Eugene, ,,,1933,Shreveport,LA,,,, , ,Male,African American,U.S. District Court,U.S. District Court for the Northern District of California,Judge,Jimmy Carter,Democratic,,,Qualified,CAND0703, ,,5/9/80,5/9/80,6/10/80,Reported (favorably),6/24/80,Voice,  ,6/26/80,6/30/80,1990,1997,,,11/28/98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",B.A.,1956,"University of California, Berkeley, School of Law",J.D.,1962,,,,,,,,,,"U.S. Army corporal, 1956-1958; Attorney, Civil Rights Division, U.S. Department of Justice, 1962-1963; Private practice, Oakland, California, 1964-1966; Directing attorney, East Bayshore Neighborhood Legal Center, East Palo Alto, California, 1966-1969; Assistant dean, Stanford Law School, 1968-1977; Private practice, San Francisco, California, 1977-1980; Associate professor, Golden Gate University School of Law, 1978-1980",
1382061,1025,Hendren,Jimm,Larry, ,,,1940,Gravette,AR,,,, , ,Male,White,U.S. District Court,U.S. District Court for the Western District of Arkansas,Judge,George H.W. Bush,Republican,,,Qualified,ARWD0601,104 Stat. 5089,,11/5/91,11/5/91,3/4/92,Reported (favorably),3/12/92,Voice,  ,3/13/92,3/18/92,1997,2012,,,12/31/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Arkansas,B.A.,1964,University of Arkansas School of Law,LL.B.,1965,,,,,,,,,,"U.S. Navy law specialist, 1965-1967; U.S. Navy, JAG Corps, 1967-1968, 1969-1970; Private practice, Bentonville, Arkansas, 1968-1969, 1970-1977, 1979-1992; U.S. Naval Reserve lieutenant commander, 1970-1983; Chancellor/probate judge, Arkansas Chancery Court, Sixteenth Chancery Division, 1977-1978","Nominated to U.S. District Court for the Eastern District of Arkansas, October 24, 1991; nomination withdrawn by president, November 5, 1991"
1394541,3542,Hendricks,Bruce,Howe, ,,,1957,Charleston,SC,,,, , ,Female,White,U.S. District Court,U.S. District Court for the District of South Carolina,Judge,Barack Obama,Democratic,,,Well Qualified,SCD0605, ,,1/6/14,1/6/14,2/11/14,Reported (favorably),3/6/14,Roll Call, 95/0,6/4/14,6/5/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"U.S. Magistrate Judge, U.S. District Court for the District of South Carolina, 2002-2014",,,,College of Charleston,B.A.,1983,University of South Carolina School of Law,J.D.,1990,,,,,,,,,,"Assistant U.S. attorney, District of South Carolina, 1991-2002","Nominated to U.S. District Court for the District of South Carolina, June 26, 2013; no Senate vote"
6831671,6831671,Hendrix,James,Wesley,,,,1977,Lubbock,TX,,,,,,Male,White,U.S. District Court,U.S. District Court for the Northern District of Texas,Judge,Donald J. Trump,Republican,,,Well Qualified,TXND0305,,,1/17/19,1/17/19,,Reported (favorably),4/4/19,Roll Call, 89/1,7/30/19,8/8/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Chicago,B.A.,2000,University of Texas School of Law,J.D.,2003,,,,,,,,,,"Law clerk, Hon. Patrick E. Higginbotham, U.S. Court of Appeals for the Fifth Circuit, 2003-2004; Private practice, Dallas, Texas, 2004-2007; Assistant U.S. attorney, Northern District of Texas, 2007-2019; chief, Appellate Division, 2012-2019","Nominated to U.S. District Court for the Northern District of Texas, March 15, 2016; no Senate vote"
